geoid,name,B15003001 - Total:,"B15003001 - Total:, Error",B15003002 - No schooling completed,"B15003002 - No schooling completed, Error",B15003003 - Nursery school,"B15003003 - Nursery school, Error",B15003004 - Kindergarten,"B15003004 - Kindergarten, Error",B15003005 - 1st grade,"B15003005 - 1st grade, Error",B15003006 - 2nd grade,"B15003006 - 2nd grade, Error",B15003007 - 3rd grade,"B15003007 - 3rd grade, Error",B15003008 - 4th grade,"B15003008 - 4th grade, Error",B15003009 - 5th grade,"B15003009 - 5th grade, Error",B15003010 - 6th grade,"B15003010 - 6th grade, Error",B15003011 - 7th grade,"B15003011 - 7th grade, Error",B15003012 - 8th grade,"B15003012 - 8th grade, Error",B15003013 - 9th grade,"B15003013 - 9th grade, Error",B15003014 - 10th grade,"B15003014 - 10th grade, Error",B15003015 - 11th grade,"B15003015 - 11th grade, Error","B15003016 - 12th grade, no diploma","B15003016 - 12th grade, no diploma, Error",B15003017 - Regular high school diploma,"B15003017 - Regular high school diploma, Error",B15003018 - GED or alternative credential,"B15003018 - GED or alternative credential, Error","B15003019 - Some college, less than 1 year","B15003019 - Some college, less than 1 year, Error","B15003020 - Some college, 1 or more years, no degree","B15003020 - Some college, 1 or more years, no degree, Error",B15003021 - Associate's degree,"B15003021 - Associate's degree, Error",B15003022 - Bachelor's degree,"B15003022 - Bachelor's degree, Error",B15003023 - Master's degree,"B15003023 - Master's degree, Error",B15003024 - Professional school degree,"B15003024 - Professional school degree, Error",B15003025 - Doctorate degree,"B15003025 - Doctorate degree, Error"
05000US19059,"Dickinson County, IA",12601,47,57,38,0,16,0,16,0,16,0,16,15,24,0,16,28,29,12,18,9,12,137,60,55,33,107,52,217,116,189,74,3567,297,366,92,966,154,2108,258,1354,190,2422,274,673,156,268,71,51,27
05000US19061,"Dubuque County, IA",61790,94,430,228,0,23,0,23,14,22,0,23,0,23,20,28,91,94,142,72,133,87,1567,162,583,141,884,198,930,161,825,174,20070,647,2515,264,4000,354,8130,534,5155,428,10671,563,4046,474,911,156,673,132
05000US19063,"Emmet County, IA",6893,55,28,22,0,16,0,16,6,9,0,16,25,42,0,16,0,16,182,122,0,16,158,69,57,37,156,78,129,67,140,64,2122,218,243,76,495,117,1138,146,897,142,832,155,187,58,83,42,15,18
05000US19065,"Fayette County, IA",14081,83,20,19,0,18,0,18,11,23,0,18,1,3,0,18,2,4,18,18,13,14,478,94,127,52,305,98,336,105,290,90,5175,311,641,135,927,149,1809,216,1395,168,1625,188,642,136,148,64,118,53
05000US19067,"Floyd County, IA",11227,69,48,36,0,16,0,16,14,21,0,16,1,3,0,16,0,16,19,23,26,26,207,62,59,37,182,75,264,74,212,109,4279,295,428,107,804,145,1506,191,1355,178,1244,172,466,117,78,40,35,33
05000US19069,"Franklin County, IA",7434,96,14,16,0,16,11,17,0,16,0,16,0,16,0,16,0,16,23,33,8,9,290,103,349,153,236,120,166,54,92,49,2479,236,169,64,449,106,1184,221,828,139,835,137,234,75,46,28,21,16
05000US19071,"Fremont County, IA",5200,24,30,15,0,14,0,14,5,8,0,14,1,3,10,14,2,2,8,9,10,8,66,36,106,46,72,35,123,41,45,17,1920,136,281,61,400,77,757,113,395,62,763,108,122,35,61,25,23,15
05000US19073,"Greene County, IA",6560,33,20,19,0,14,0,14,6,13,18,40,8,13,12,19,0,14,19,14,15,21,109,48,155,74,109,51,233,80,111,48,2067,191,206,66,593,127,990,142,775,133,887,165,150,58,61,40,16,17
05000US19075,"Grundy County, IA",8645,35,9,8,0,16,0,16,0,16,3,4,0,16,2,7,0,16,9,18,16,19,246,80,90,48,98,37,102,41,54,27,2843,179,216,57,729,107,1256,127,1134,114,1416,143,338,91,54,23,30,25
05000US19077,"Guthrie County, IA",7783,13,24,15,0,16,0,16,0,16,4,10,3,5,10,22,0,16,6,9,15,19,126,49,120,52,126,39,156,56,69,37,2700,182,278,75,707,99,1173,139,830,140,1100,169,160,54,128,57,48,34
05000US19079,"Hamilton County, IA",10778,102,50,39,0,16,0,16,33,30,23,36,0,16,7,14,0,16,41,60,24,28,238,89,224,114,209,73,124,50,166,75,3696,297,385,110,872,143,1718,245,1169,191,1399,200,313,86,34,20,53,27
05000US19081,"Hancock County, IA",8032,34,59,46,0,16,0,16,0,16,13,16,2,4,0,16,14,17,3,6,52,39,208,71,97,57,66,28,163,57,117,52,2853,237,248,72,650,130,1057,148,1141,175,975,141,199,64,101,65,14,14
05000US19083,"Hardin County, IA",12024,81,78,52,0,16,0,16,0,16,5,8,0,16,1,3,1,4,52,38,19,17,282,77,109,57,208,83,197,56,70,33,3821,290,472,96,857,147,1879,215,1757,213,1530,179,547,122,106,43,33,23
05000US19085,"Harrison County, IA",10263,36,75,31,0,16,0,16,0,16,0,16,0,16,4,8,0,16,4,5,29,22,173,69,136,52,148,52,190,55,175,60,3768,206,443,101,1037,146,1567,173,796,110,1367,153,290,77,41,24,20,17
05000US19087,"Henry County, IA",13843,83,24,18,10,16,15,20,0,18,0,18,0,18,0,18,53,65,19,21,53,32,329,117,146,53,167,69,264,84,265,105,4449,357,708,121,1162,223,2105,218,1368,187,2054,266,441,128,162,82,49,40
05000US19089,"Howard County, IA",6467,34,44,29,0,14,0,14,0,14,30,43,0,14,11,17,0,14,0,14,1,4,330,86,27,25,125,55,139,53,73,46,2476,237,278,72,492,97,1021,152,624,116,524,121,147,62,97,55,28,33
05000US19091,"Humboldt County, IA",6845,38,66,43,0,14,0,14,0,14,7,13,0,14,3,7,0,14,24,19,42,34,96,46,50,32,81,35,200,80,116,40,2364,197,303,66,387,99,1110,135,819,108,875,140,272,87,19,18,11,9
05000US19093,"Ida County, IA",4973,29,42,33,0,14,0,14,1,4,7,15,10,22,0,14,0,14,0,14,2,3,138,48,30,22,67,31,123,46,121,45,1770,117,188,48,398,82,727,89,412,77,691,90,204,63,30,21,12,14
05000US19095,"Iowa County, IA",11327,52,17,21,0,16,0,16,5,10,0,16,0,16,15,21,4,7,2,3,48,35,248,63,75,34,125,65,205,74,93,39,3958,259,280,80,967,134,1553,176,1345,185,1809,275,450,114,92,53,36,29
05000US19097,"Jackson County, IA",13884,30,102,46,0,16,0,16,0,16,0,16,1,2,6,9,5,8,22,18,36,27,595,112,107,46,251,84,279,67,187,63,5676,377,671,130,1119,149,1610,205,1154,162,1461,193,421,101,161,73,20,23
05000US19099,"Jasper County, IA",25868,89,106,68,0,21,6,9,14,15,0,21,0,21,0,21,11,14,34,21,46,38,559,123,297,87,426,117,580,146,182,82,8963,486,1646,205,2476,258,3794,360,2278,270,3305,315,854,129,189,100,102,49
05000US19101,"Jefferson County, IA",11757,120,85,45,0,16,0,16,0,16,0,16,0,16,0,16,4,7,0,16,14,21,134,59,158,108,142,61,54,32,97,66,3537,320,440,153,769,186,1475,240,1311,249,2036,300,1145,245,203,78,153,70
05000US19103,"Johnson County, IA",76798,63,286,109,0,23,10,16,0,23,24,30,81,74,18,27,39,47,258,147,78,59,843,208,406,164,580,169,589,149,518,165,11908,656,1479,251,3620,428,10097,636,6644,730,21484,868,9859,615,3742,405,4235,386
05000US19105,"Jones County, IA",14652,73,62,33,0,18,0,18,0,18,0,18,0,18,0,18,15,20,5,12,25,21,330,99,128,50,229,65,363,125,93,37,5243,306,898,149,1257,170,1920,226,1510,193,1975,233,449,102,93,49,57,49
05000US19107,"Keokuk County, IA",7320,29,34,22,7,8,5,6,0,16,0,16,0,16,0,16,1,2,14,17,8,8,244,45,140,63,130,46,155,52,90,34,2885,166,299,59,707,90,899,114,753,106,695,100,209,56,35,29,10,9
05000US19109,"Kossuth County, IA",11088,42,39,24,0,16,0,16,0,16,0,16,0,16,18,20,3,4,1,2,11,16,327,80,76,36,135,40,137,41,211,60,3971,210,328,86,895,118,1539,181,1407,180,1483,176,392,92,75,34,40,31
05000US19111,"Lee County, IA",24949,129,153,73,14,30,0,21,0,21,0,21,32,22,0,21,0,21,53,39,30,32,492,126,331,105,571,138,598,140,469,117,8707,432,1717,251,2358,321,3332,305,2383,304,2569,209,763,140,280,87,97,78
05000US19113,"Linn County, IA",139321,132,609,180,22,34,7,14,9,14,40,45,73,69,67,53,64,49,141,87,263,135,1292,254,1130,204,1712,271,2151,291,1578,253,33135,1109,4714,503,11426,631,21848,966,16045,744,30273,1097,9400,574,2144,310,1178,233
05000US19115,"Louisa County, IA",7654,41,144,61,0,16,8,9,0,16,3,6,32,25,33,20,26,16,170,50,68,40,164,60,137,59,141,51,198,51,168,45,2818,199,347,87,554,99,963,105,661,96,784,127,184,59,44,29,7,8
05000US19117,"Lucas County, IA",6166,29,44,25,0,14,0,14,0,14,0,14,6,13,0,14,15,25,16,17,41,34,183,68,66,39,171,75,121,60,38,23,2462,194,347,98,630,116,863,162,444,93,564,133,97,42,47,34,11,18
05000US19119,"Lyon County, IA",7609,39,84,38,0,16,0,16,0,16,1,2,0,16,3,5,2,4,0,16,2,5,487,80,47,22,113,46,72,34,66,31,2811,188,254,63,631,94,905,120,887,98,944,141,225,56,49,28,26,21
05000US19121,"Madison County, IA",10481,34,37,31,0,16,0,16,0,16,2,3,0,16,0,16,0,16,22,22,16,31,78,45,109,56,91,49,184,77,56,28,3914,276,547,129,747,157,1396,232,1061,177,1652,180,355,98,152,61,62,57
05000US19123,"Mahaska County, IA",14738,122,71,46,0,18,0,18,0,18,15,17,8,12,1,3,26,30,31,24,24,18,420,97,213,94,211,82,326,105,187,78,5268,327,577,116,1170,188,1791,228,1369,184,2245,220,605,132,119,44,61,34
05000US19125,"Marion County, IA",21670,89,76,49,0,21,0,21,0,21,0,21,0,21,15,23,0,21,70,63,39,30,443,96,257,103,320,98,319,85,189,88,6933,331,856,160,1967,236,2863,282,2081,253,3704,335,1118,176,200,81,220,81
05000US19127,"Marshall County, IA",26960,122,419,120,0,21,7,15,23,26,16,18,125,89,133,84,79,71,680,167,111,67,621,161,475,139,482,175,771,186,228,74,7833,399,1352,242,2206,245,3713,348,2711,279,3425,284,1178,212,280,99,92,58
05000US19129,"Mills County, IA",10260,74,97,54,2,3,0,16,9,20,0,16,0,16,21,38,0,16,12,13,3,6,221,125,72,51,185,94,177,108,119,58,3048,220,434,103,816,137,1525,184,1005,134,1803,228,573,130,112,56,26,23
05000US19131,"Mitchell County, IA",7435,45,7,7,0,16,0,16,0,16,0,16,0,16,11,12,0,16,0,16,54,47,286,81,53,30,89,51,82,34,90,40,2887,212,266,73,596,103,957,141,958,150,851,144,165,58,74,38,9,13
05000US19133,"Monona County, IA",6646,43,34,22,0,14,0,14,0,14,3,7,0,14,3,5,12,16,0,14,37,29,224,63,81,36,153,67,164,66,96,48,2480,182,288,75,604,97,934,127,550,126,786,148,151,52,31,24,15,15
05000US19135,"Monroe County, IA",5527,5,37,28,0,14,0,14,0,14,0,14,0,14,0,14,1,8,53,55,12,14,161,71,96,51,113,63,170,78,65,47,2013,203,288,118,354,97,566,119,638,140,666,124,233,97,39,37,22,24
05000US19137,"Montgomery County, IA",7591,37,61,35,0,16,4,6,0,16,34,28,24,18,11,14,7,11,18,23,115,82,261,74,63,39,115,44,196,80,122,53,2249,178,375,95,739,134,1135,196,866,135,881,113,219,65,75,35,21,23
05000US19139,"Muscatine County, IA",28171,69,344,111,0,21,0,21,38,43,9,11,134,89,66,41,117,79,414,139,77,47,689,166,389,115,633,130,700,182,491,113,8170,407,1512,256,2766,327,3886,375,2969,332,3391,305,1081,191,200,69,95,52
05000US19141,"O'Brien County, IA",10015,50,50,28,0,16,9,12,0,16,0,16,7,11,0,16,0,16,23,20,31,22,327,82,122,67,85,34,91,36,183,67,3492,280,413,135,684,100,1544,211,991,165,1545,221,276,81,126,56,16,15
05000US19143,"Osceola County, IA",4477,38,43,34,0,14,0,14,0,14,0,14,0,14,9,19,0,14,21,26,10,13,255,79,76,50,77,42,93,44,38,25,1657,166,159,52,371,78,631,88,443,84,468,95,71,32,49,39,6,10
05000US19145,"Page County, IA",11350,109,82,43,0,16,0,16,0,16,14,23,45,38,4,10,0,16,38,39,16,17,235,69,169,77,165,68,261,120,235,92,3647,208,700,129,878,143,1697,202,1144,177,1460,198,399,118,133,58,28,26
05000US19147,"Palo Alto County, IA",6470,42,16,18,0,14,0,14,0,14,0,14,2,6,8,15,3,6,8,9,25,25,217,73,48,27,154,58,128,53,99,49,2105,190,240,59,448,90,1209,155,791,105,738,140,159,50,41,32,31,24
05000US19149,"Plymouth County, IA",16910,62,52,37,0,18,0,18,0,18,9,14,0,18,25,24,4,6,98,50,70,51,349,91,73,41,209,69,184,66,135,58,5968,353,457,110,1415,203,2763,267,1688,194,2287,246,750,175,273,101,101,68
05000US19151,"Pocahontas County, IA",5257,36,38,25,0,14,0,14,0,14,0,14,0,14,0,14,3,4,0,14,10,14,139,51,24,23,83,35,62,27,75,28,1863,115,160,44,492,82,773,97,617,89,733,95,147,48,33,17,5,6
05000US19153,"Polk County, IA",282156,129,2220,367,3,5,58,55,217,131,128,92,238,106,437,193,397,161,2427,356,801,244,2093,371,3088,383,3615,438,4905,591,3300,382,61252,1291,11656,755,20227,918,40731,1459,27498,1020,68804,1545,19486,907,5697,508,2878,361
